Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
,,,,21856,16518,03h 32m 40.02s,+35° 27′ 42.2″,5.91,-2.6,1638,B1V,
,,,,19845,15004,03h 13m 23.86s,+48° 10′ 37.2″,5.93,1.03,311,G9III,
,,,,20675,15669,03h 21m 52.37s,+49° 04′ 15.8″,5.94,2.64,149,F6V,
V376 Per,,,V376,23728,17846,03h 49m 08.12s,+43° 57′ 46.9″,5.95,1.75,226,A9IV,δ Sct variable
,,,,27278,20241,04h 20m 14.42s,+41° 48′ 29.4″,5.95,0.82,346,K0III,
,,,,11151,8598,01h 50m 57.09s,+51° 56′ 01.3″,5.96,2.71,145,F5V,
,,,,20346,15334,03h 17m 45.74s,+39° 17′ 00.3″,5.97,-0.38,607,A2IV,
,,,,29645,21847,04h 41m 50.08s,+38° 16′ 49.5″,5.97,3.5,102,G0V,
V573 Per,,,V573,20277,15241,03h 16m 35.19s,+32° 11′ 03.2″,5.98,-0.16,551,G8IV,
7 Per,χ,7,,13994,10729,02h 18m 04.60s,+57° 30′ 58.8″,5.99,-0.7,710,G7III,"note that χ Per usually refers to NGC 884, an open cluster"
,,,,30138,22220,04h 46m 44.47s,+40° 18′ 45.6″,5.99,0.32,443,G9III,
,,,,11031,8475,01h 49m 15.56s,+47° 53′ 49.0″,6.01,0.97,331,A3V,
,,,,18155,13713,02h 56m 33.30s,+47° 09′ 50.4″,6.05,-2.84,1952,K3III:,
,,,,18339,13832,02h 58m 02.33s,+38° 36′ 53.9″,6.06,-1.7,1164,K3III,
,,,,19066,14365,03h 05m 21.03s,+40° 34′ 55.9″,6.06,0.57,408,K0III,
,,,,23049,17437,03h 44m 06.43s,+48° 31′ 25.3″,6.06,-0.96,827,K4III,
,,,,20063,15118,03h 14m 56.55s,+42° 30′ 13.0″,6.07,1.88,225,K2III,
49 Per,,49,,25975,19302,04h 08m 15.46s,+37° 43′ 40.7″,6.07,2.85,144,K1III,
V576 Per,,,V576,21071,15988,03h 25m 57.36s,+49° 07′ 15.0″,6.09,-0.24,603,B7V,
57 Per,m,57,,28704,21242,04h 33m 24.90s,+43° 03′ 50.0″,6.09,2.04,211,F0V,
,,,,29866,22034,04h 44m 13.01s,+40° 47′ 11.4″,6.09,-0.01,542,B8IVn,
,,,,18991,14392,03h 05m 40.15s,+56° 04′ 08.5″,6.1,1.71,246,G9III,
,,,,23139,17475,03h 44m 40.91s,+46° 05′ 59.5″,6.1,-0.12,573,A7IV,
,,,,18552,13997,03h 00m 11.88s,+38° 07′ 54.5″,6.11,-1.56,1113,B8Vn,
,,,,19736,14887,03h 12m 09.54s,+42° 22′ 33.4″,6.15,-0.37,657,B4V,
,,,,20162,15209,03h 16m 04.43s,+45° 20′ 46.4″,6.15,-1.1,918,M2III,
,,,,27349,20231,04h 20m 09.95s,+31° 57′ 11.5″,6.16,-0.84,819,K5,
,,,,23552,17772,03h 48m 18.08s,+50° 44′ 12.4″,6.18,-0.12,594,B8Vn,
,,,,28459,21038,04h 30m 38.40s,+32° 27′ 28.1″,6.18,1.31,307,B9.5Vn,
,,,,21455,16252,03h 29m 26.26s,+46° 56′ 16.6″,6.21,-0.03,576,B7V,
,,,,18153,13732,02h 56m 50.66s,+51° 15′ 40.9″,6.22,-0.36,675,K5III,
,,,,24167,18094,03h 52m 04.45s,+31° 10′ 07.2″,6.22,0.72,411,A5V,
V545 Per,,,V545,27026,20063,04h 18m 08.09s,+42° 08′ 28.5″,6.22,0.84,389,B9V,
,,,,17818,13462,02h 53m 21.07s,+48° 34′ 11.9″,6.23,-4.77,5175,G5Iab:,
10 Per,,10,V554,14818,11279,02h 25m 16.03s,+56° 36′ 35.4″,6.25,-3.93,3543,B2Ia,V554 Per; α Cyg variable
V480 Per,,,V480,17378,13178,02h 49m 30.74s,+57° 05′ 03.6″,6.25,,,A5Ia,α Cyg variable
,,,,20210,15204,03h 16m 01.83s,+34° 41′ 19.0″,6.25,2.12,218,A1m,
,,,,27650,20498,04h 23m 35.80s,+42° 25′ 40.8″,6.25,0.1,553,A1sp...,
,,,,28503,21108,04h 31m 24.10s,+40° 00′ 36.8″,6.25,-2.34,1707,B8V,
,,,,23626,17732,03h 47m 49.04s,+32° 11′ 43.8″,6.26,2.53,182,G0,
,,,,17228,12982,02h 46m 58.28s,+35° 59′ 00.7″,6.27,0.77,411,G8III,
,,,,11335,8771,01h 52m 50.74s,+51° 28′ 29.5″,6.28,0.37,495,A3V,
,,,,17240,12990,02h 47m 03.60s,+35° 33′ 17.3″,6.28,2.92,153,A9V,
V440 Per,,,V440,14662,11174,02h 23m 51.75s,+55° 21′ 53.5″,6.29,-2.66,2012,F7Ib,δ Cep variable
,,,,21620,16424,03h 31m 29.35s,+49° 12′ 35.2″,6.29,0.51,468,A0Vn,
,,,,16780,12690,02h 43m 01.85s,+48° 15′ 54.9″,6.3,-1.84,1387,G5,
,,,,20193,15191,03h 15m 47.15s,+32° 51′ 24.0″,6.3,2.34,202,F4Vwvar,
,,,,13137,10115,02h 10m 07.73s,+53° 50′ 35.5″,6.31,0.02,590,G8III,
,,,,26702,19810,04h 14m 52.07s,+37° 32′ 33.6″,6.31,0.76,419,G5,
,,,,19735,14914,03h 12m 26.36s,+47° 43′ 33.9″,6.32,0.38,502,K5III,
,,,,24843,18565,03h 58m 29.13s,+38° 50′ 25.3″,6.32,0.79,416,K1III:,
,,,,19268,14566,03h 08m 03.83s,+52° 12′ 48.8″,6.33,-0.31,694,B5V,
,,,,10110,7786,01h 40m 13.12s,+53° 52′ 05.8″,6.35,-0.03,616,K5III,
,,,,17743,13424,02h 52m 52.03s,+52° 59′ 50.6″,6.35,-1.1,1009,B8III,
,,,,28591,21144,04h 31m 56.94s,+36° 44′ 34.3″,6.35,0.99,385,G5,
5 Per,,5,,13267,10227,02h 11m 29.19s,+57° 38′ 44.0″,6.38,-3.08,2547,B5Ia,
V521 Per,,,V521,19279,14544,03h 07m 47.34s,+47° 18′ 31.3″,6.38,1.99,246,A3Vnn,δ Sct variable
,,,,25152,18769,04h 01m 14.84s,+36° 59′ 22.1″,6.39,1.1,373,A0V,
,,,,14433,11020,02h 21m 55.44s,+57° 14′ 34.5″,6.4,-3.37,2937,A1Ia,
,,,,21661,16447,03h 31m 49.04s,+49° 24′ 03.9″,6.41,-2.68,2145,B9III,
,,,,22402,16938,03h 38m 00.17s,+42° 34′ 58.4″,6.41,-0.62,830,B8Vn,
KP Per,,,KP,21803,16516,03h 32m 38.98s,+44° 51′ 20.8″,6.42,-1.98,1560,B2IV,β Cep variable
,,,,13476,10379,02h 13m 41.61s,+58° 33′ 38.1″,6.43,-3.3,2885,A3Iab,
,,,,11408,8847,01h 53m 48.46s,+55° 35′ 51.6″,6.44,2.11,240,A5m,
,,,,17605,13257,02h 50m 35.30s,+36° 56′ 55.1″,6.44,2.52,198,G0,
,,,,20283,15282,03h 17m 11.45s,+40° 28′ 59.0″,6.44,-0.23,704,B9p,
,,,,17245,13036,02h 47m 31.15s,+44° 16′ 20.0″,6.45,-2.36,1884,F5,
,,,,17484,13176,02h 49m 26.93s,+37° 19′ 35.1″,6.45,1.12,379,F6III-IV,
,,,,23301,17558,03h 45m 37.11s,+38° 40′ 34.4″,6.45,0.7,460,K0,
V572 Per,,,V572,20096,15193,03h 15m 48.65s,+50° 57′ 21.5″,6.46,0.95,413,A0,
,,,,26605,19746,04h 13m 59.73s,+37° 58′ 01.7″,6.47,1.06,394,G9III,
,,,,13854,10633,02h 16m 51.72s,+57° 03′ 18.9″,6.48,-2.84,2380,B1Iab,
V509 Per,,,V509,18878,14264,03h 03m 56.75s,+47° 50′ 54.6″,6.48,1.24,363,F0,δ Sct variable
,,,,13519,10361,02h 13m 33.51s,+53° 03′ 30.9″,6.5,-5.54,8359,K5,
,,,,21684,16425,03h 31m 30.28s,+40° 45′ 36.1″,6.5,0.87,436,A5,
V520 Per,,-61,V520,14134,10805,02h 19m 04.45s,+57° 08′ 07.8″,6.55,,,B3Ia,61 Andromedae
X Per,,,X,24534,18350,03h 55m 23.08s,+31° 02′ 45.1″,6.79,-2.8,2694,O9.5pe,
HD 23596,,,,23596,17747,03h 48m 00.37s,+40° 31′ 50.3″,7.24,3.66,169,F8,has a planet (b)
HD 17092,,,,17092,,02h 46m 22.12s,+49° 39′ 11.1″,7.73,,,K0V,has a planet (b)
HD 16760,,,,16760,12638,02h 42m 21s,+38° 37′ 07″,8.74,,163,G5V,has a planet (b)
HD 22781,,,,22781,17187,03h 40m 59s,+31° 49′ 35″,8.78,,104,K0,has a planet (b)
HAT-P-29,,,,,,02h 12m 31s,+51° 46′ 44″,11.9,,1050,F8,has a transiting planet (b)
HAT-P-15,,,,,,04h 24m 59.53s,+39° 27′ 38.3″,12.16,5.77,619,G5,has a transiting planet (b)
"Table legend: 
[TABLE]",,,,,,,,,,,,
