Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
,,,,,136751,75093,15h 20m 41.65s,+44° 26′ 04.7″,6.14,2.49,175,F4IVs,
,,,,,130025,72139,14h 45m 20.58s,+18° 53′ 05.7″,6.15,0.24,495,K0,
,,,,,130603,72412,14h 48m 23.41s,+24° 22′ 00.3″,6.15,1.61,264,F2V,
,,,,,130817,72469,14h 49m 06.93s,+37° 48′ 39.3″,6.15,3.09,134,F2V,
,,,,,138213,75770,15h 28m 44.41s,+47° 12′ 05.4″,6.15,0.32,479,Amvar...,
,,,,,119288,66860,13h 42m 12.98s,+08° 23′ 19.0″,6.16,3.39,117,F3Vp,174 G. Vir in Boötes
,,,,,121560,68030,13h 55m 50.17s,+14° 03′ 23.3″,6.16,4.24,79,F6V,
,,,,,134323,74121,15h 08m 53.54s,+13° 14′ 06.2″,6.16,-0.1,582,G6V:,
HD 122563,,,,,122563,68594,14h 02m 31.96s,+09° 41′ 10.6″,6.18,-0.94,867,F8IV,extremely metal-poor giant
,,,,,125349,69818,14h 17m 21.16s,+51° 18′ 26.6″,6.19,1.15,331,A2IV,
5 G. Boo,,,5,,126271,70414,14h 24m 18.34s,+08° 05′ 05.4″,6.19,0.95,363,K4III,
,,,,,135402,74514,15h 13m 35.59s,+38° 15′ 53.3″,6.19,0.54,439,K2III:,
,,,,,126141,70310,14h 23m 06.92s,+25° 20′ 16.9″,6.22,3.46,116,F5V,
,,,,,127065,70762,14h 28m 16.46s,+36° 11′ 49.3″,6.22,-1.07,937,K0III,
11 Boo,,11,,,122405,68478,14h 01m 10.53s,+27° 23′ 11.6″,6.23,1.14,340,A7III,
,,,,,124755,69569,14h 14m 23.57s,+41° 31′ 08.5″,6.23,2.98,146,K3III:,
2 G. Boo,,,2,,122744,68687,14h 03m 36.79s,+07° 32′ 46.4″,6.25,0.64,432,G9III,
,,,,,125040,69751,14h 16m 32.93s,+20° 07′ 19.5″,6.25,3.71,105,F8V,
,,,,,122742,68682,14h 03m 32.30s,+10° 47′ 15.1″,6.27,5.17,54,G8V,
,,,,,130084,72124,14h 45m 13.68s,+32° 47′ 18.6″,6.27,-1.11,976,M1III,
,,,,,126597,70517,14h 25m 29.15s,+38° 23′ 35.2″,6.28,-0.13,625,K2III:,
,,,,,132879,73464,15h 00m 52.28s,+22° 02′ 44.1″,6.29,-1.19,1022,K0,
,,,,,125406,69862,14h 17m 49.21s,+48° 00′ 07.5″,6.32,2.07,231,F5,
,,,,,128093,71243,14h 34m 11.63s,+32° 32′ 04.1″,6.32,3.2,137,F5V,
,,,,,125642,70029,14h 19m 47.72s,+38° 47′ 38.7″,6.33,0.65,447,A2V,
,,,,,134493,74083,15h 08m 19.54s,+50° 03′ 18.0″,6.33,0.77,423,K0III,
BX Boo,,,,BX,133029,73454,15h 00m 38.73s,+47° 16′ 38.7″,6.35,0.53,477,B9p SiSrCr,"α2 CVn variable, *V*max = 6.33m, *V*min = 6.41m, *P* = 2.88813 d"
,,,,,134044,73941,15h 06m 35.19s,+36° 27′ 21.5″,6.35,4,96,F8V,
,,,,,122443,68516,14h 01m 36.84s,+17° 40′ 06.9″,6.36,-4.98,6037,G5,
,,,,,127334,70873,14h 29m 36.68s,+41° 47′ 47.2″,6.36,4.5,77,G5V,
,,,,,124713,69592,14h 14m 40.94s,+21° 52′ 24.3″,6.38,2.53,192,A7V,
,,,,,125111,69735,14h 16m 24.38s,+39° 44′ 40.9″,6.38,2.96,157,F2IV,
,,,,,126307,70385,14h 24m 01.98s,+27° 24′ 47.5″,6.39,-1.89,1475,K4III,
,,,,,127986,71168,14h 33m 20.27s,+36° 57′ 33.1″,6.39,2.07,238,F8IVw,
,,,,,128402,71406,14h 36m 06.88s,+23° 15′ 01.1″,6.39,1.08,377,K0,
,,,,,129430,71857,14h 41m 54.24s,+21° 07′ 25.3″,6.4,0.58,475,G8III,
,,,,,131473,72846,14h 53m 23.36s,+15° 42′ 18.4″,6.41,2.96,160,F6III,
,,,,,119784,67104,13h 45m 13.47s,+10° 19′ 31.5″,6.42,1.14,371,K2,
,,,,,124678,69585,14h 14m 35.66s,+13° 58′ 30.9″,6.45,0.51,502,K2,
,,,,,125658,70051,14h 20m 08.67s,+30° 25′ 44.9″,6.45,1.76,283,A5III,
,,,,,118839,66594,13h 39m 02.31s,+18° 15′ 55.3″,6.46,-0.31,738,K3III,
,,,,,125632,69958,14h 18m 55.93s,+54° 51′ 49.6″,6.47,1.42,334,A5Vn,
,,,,,135944,74690,15h 15m 50.68s,+50° 56′ 18.8″,6.47,2.56,197,G5,
,,,,,118660,66522,13h 38m 07.86s,+14° 18′ 07.1″,6.49,2.21,234,A9Vs,
,,,,,131040,72508,14h 49m 32.37s,+51° 22′ 28.2″,6.49,2.93,168,F5IV,
,,,,,125076,69704,14h 16m 02.41s,+45° 33′ 58.0″,6.5,1,410,K0,
CI Boo,,,,CI,126009,70236,14h 22m 14.03s,+29° 22′ 11.9″,6.5,-0.19,709,MIII,"irregular variable, *V*max = 6.23m, *V*min = 6.57m"
,,,,,132145,73156,14h 57m 03.61s,+21° 33′ 19.7″,6.5,0.83,444,A1V,
μ2 Boo,μ2,51,,,137392,75415,15h 24m 30.97s,+37° 20′ 49.5″,6.51,3.65,122,G1V,component of the μ Boo system
κ1 Boo,κ1,17,,,124674,69481,14h 13m 27.75s,+51° 47′ 16.4″,6.62,2.73,196,F1V,component of the κ Boo system
HD 141399,,,,,141399,77301,15h 46m 54.0s,+46° 59′ 11″,7.2,4.41,118,K0V,"has four planets (b, c, d & e)"
HD 128311,,,,,128311,71395,14h 36m 00.56s,+09° 44′ 47.5″,7.48,6.38,54,K0V,has two planets (b & c)
HD 122562,,,,,122562,68578,14h 02m 21.0s,+20° 52′ 53″,7.69,4.04,175,G5,has a planet (b)
HD 136418,,,,,136418,74961,15h 19m 06.18s,+41° 43′ 59.5″,7.88,2.74,347,G5III,has a planet (b)
HD 131496,,,,,131496,72845,14h 53m 23s,+18° 14′ 07″,7.96,2.75,359,K0,has a planet (b)
HD 134113,,,,,134113,74033,15h 07m 47.0s,+08° 52′ 47″,8.26,3.97,235,F9V,has a planet (b)
HD 132406,,,,,132406,73146,14h 56m 54.65s,+53° 22′ 55.8″,8.45,4.19,231,G0V,has a planet (b)
HD 132563 B,,,,,132563,,14h 58m 21s,+44° 02′ 36″,9.47,4.56,313,,has a planet (HD 132563 B b)
WASP-14,,,,,,,14h 33m 06.3549s,+21° 53′ 40.978″,9.745,3.725,521.6,F5V,has a transiting planet WASP-14b
BD+36°2593,,,,,,,15h 19m 57.93s,+36° 13′ 46.8″,11.2,3.6,1010,F,has a transiting planet HAT-P-4b
R Boo,,,,R,128609,71490,14h 37m 11.70s,+26° 44′ 10.0″,11.7,3.16,1664,M4e,"Mira variable, *V*max = 6.0m, *V*min = 13.3m, *P* = 223.11 d"
WASP-113,,,,,,,14h 59m 29.0s,+46° 57′ 36″,11.8,4.02,1174,G1,has a transiting planet (b)
HAT-P-44,,,,,,,14h 12m 35.0s,+47° 00′ 53″,13.21,5.35,1220,,has two transiting planet (b and c)
"Table legend: 
[TABLE]",,,,,,,,,,,,,
