Name,B,F,G.[1],Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
FQ Ser,,,40 Cap,FQ,145050,79086,16h 08m 36.53s,+08° 36′ 47.7″,6.47,0.69,468,M4III,
FR Ser,,,51 Cau,FR,171586,91142,18h 35m 36.48s,+04° 56′ 09.8″,6.47,1.41,335,A2pvar,α2 CVn-type variable star
,,,,,140438,76985,15h 43m 10.54s,+13° 40′ 03.9″,6.48,0.05,629,G5III,
4 G. Ser Cau,,,4 Cau,,157969,85405,17h 27m 09.89s,−15° 51′ 12.0″,6.48,0.7,466,K0II/III,
,,,,,138803,76198,15h 33m 52.74s,+17° 08′ 14.9″,6.49,2.5,205,F3III,
60 G. Ser Cau,,,60 Cau,,172088,91394,18h 38m 23.80s,−03° 11′ 37.4″,6.49,3,163,F9IV,
,,,,,135061,74441,15h 12m 47.19s,+10° 42′ 08.9″,6.5,-0.06,669,K2,
5 G. Ser Cap,,,5 Cap,,136027,74895,15h 18m 22.62s,+00° 56′ 22.0″,6.5,0.89,432,K0,
48 G. Ser Cap,,,48 Cap,,146740,79834,16h 17m 43.37s,+01° 29′ 48.2″,6.5,0.18,598,K0,
τ4 Ser,τ4,17,,,139216,76423,15h 36m 28.19s,+15° 06′ 05.0″,6.51,0.5,520,M5II-III,semiregular variable star
14 Ser,,14,19 Cap,,139137,76427,15h 36m 33.72s,−00° 33′ 41.3″,6.51,0.52,514,G8III+...,
29 Ser,,29,45 Cap,,141040,77249,15h 46m 24.02s,+15° 31′ 36.1″,6.7,-0.19,780,A3,
46 Ser,,46,,,144937,79047,16h 08m 05.73s,+10° 04′ 49.8″,6.74,1.55,355,A3,
HD 168443,,,,,168443,89844,18h 20m 03.93s,−09° 35′ 44.6″,6.92,4.03,124,G5IV,has a planet (b) and a brown dwarf
HD 136118,,,8 Cap,,136118,74948,15h 18m 55.47s,−01° 35′ 32.6″,6.94,3.35,171,F9V,has a red dwarf companion that was formerly a known planet
HD 142245,,,,,142245,77783,15h 52m 56s,+15° 25′ 51″,7.63,,357,K0,has a planet (b)
HD 168746,,,,,168746,90004,18h 21m 49.78s,−11° 55′ 21.7″,7.95,4.78,141,G5V,has a planet (b)
HD 175541,,,,,175541,92895,18h 55m 40.88s,+04° 15′ 55.2″,8.03,2.49,417,G8IV,has a planet (b)
Gliese 710,,,,,168442,89825,18h 19m 50.84s,−01° 56′ 19.0″,9.66,8.26,63,K7V,future encounter at 1.1 ly
HAT-P-46,,,,,,,18h 01m 47.0s,−02° 58′ 15″,11.94,,965,,has two transiting planets (b & c)
HAT-P-45,,,,,,,18h 17m 30.0s,−03° 22′ 52″,12.79,,995,,has two transiting planets (b)
COROT-11,,,,,,,18h 42m 44.95s,+05° 56′ 15.7″,12.94,4.2,~1820,F6V,has a transiting planet (b)
COROT-28,,,,,,,18h 34m 45.0s,+05° 34′ 26″,13.49,,1826,G8/9IV,has a transiting planet (b)
COROT-9,,,,,,,18h 43m 09.18s,+06° 12′ 14.9″,13.7,5.4,1500,G3V,has a transiting planet (b)
COROT-33,,,,,,,18h 38m 34.0s,+05° 37′ 29″,14.7,,,G9V,has a transiting planet (b)
COROT-27,,,,,,,18h 33m 59.0s,+05° 32′ 19″,15.54,,,G2,has a transiting planet (b)
COROT-23,,,,,,,18h 39m 08s,+04° 21′ 28″,15.63,,,F9/G0V,has a transiting planet (b)
"Table legend: 
[TABLE]",,,,,,,,,,,,,
