Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
,,,,,28226,20842,04h 28m 00.72s,+21° 37′ 12.0″,5.72,2.32,156,Am,member of the Hyades star cluster
131 Tau,,131,,,38545,27316,05h 47m 13.15s,+14° 29′ 18.3″,5.72,0.16,422,A3Vn,
,,,,,29646,21819,04h 41m 19.74s,+28° 36′ 54.2″,5.73,0.67,335,A2V,
6 Tau,t,6,8,,21933,16511,03h 32m 35.93s,+09° 22′ 24.8″,5.76,0.57,355,B9IV,
Sterope I,,21,,,23432,17579,03h 45m 54.46s,+24° 33′ 16.6″,5.76,0.39,387,B8V,Asterope; member of the Pleiades star cluster
49 G. Tau,,,49,,27497,20268,04h 20m 41.25s,+06° 07′ 51.3″,5.76,0.17,428,G8III-IV,
117 Tau,,117,,,35802,25583,05h 28m 01.60s,+17° 14′ 21.3″,5.77,-0.9,704,M1III,
89 Tau,,89,,,29375,21588,04h 38m 09.38s,+16° 02′ 00.2″,5.78,2.49,148,F0V,member of the Hyades star cluster
99 Tau,,99,,,31553,23068,04h 57m 48.65s,+23° 56′ 54.9″,5.79,-0.01,471,G8III:,
98 Tau,k,98,,,31592,23088,04h 58m 09.38s,+25° 03′ 01.9″,5.79,1,296,A0V,
V711 Tau,,,10,V711,22468,16846,03h 36m 47.31s,+00° 35′ 17.4″,5.82,3.51,94,G5IV/V +K1IV,RS CVn variable
,,,,,37098,26396,05h 37m 08.84s,+26° 55′ 28.3″,5.83,0,477,B9IV-V,
105 Tau,,105,,V1155,32991,23883,05h 07m 55.43s,+21° 42′ 17.4″,5.84,-1.66,1032,B2Ve,V1155 Tau; Be star
HU Tau,,,,HU,29365,21604,04h 38m 15.84s,+20° 41′ 05.1″,5.85,0.63,361,B8V,Algol variable
,,,,,28217,20804,04h 27m 28.77s,+11° 12′ 44.4″,5.87,0,487,B8IV,
,,,,,28929,21323,04h 34m 37.99s,+28° 57′ 40.3″,5.88,0.11,466,B9p...,
,,,,,25202,18735,04h 00m 48.69s,+18° 11′ 38.6″,5.89,2.6,148,F4V...,member of the Hyades star cluster
,,,,,26038,19284,04h 07m 59.41s,+17° 20′ 23.7″,5.89,0.77,345,K5III,
39 Tau,A2,39,,,25680,19076,04h 05m 20.15s,+22° 00′ 33.2″,5.9,4.78,55,G5V,
76 Tau,,76,,,28294,20873,04h 28m 23.34s,+14° 44′ 27.7″,5.9,2.23,177,F0IV,member of the Hyades star cluster
18 G. Tau,,,18,,23526,17595,03h 46m 09.36s,+06° 48′ 13.2″,5.91,0.84,337,G9III,
,,,,,27639,20417,04h 22m 22.73s,+20° 49′ 17.1″,5.91,-2.74,1753,M0III,
6 G. Tau,,,6,,21755,16358,03h 30m 45.40s,+06° 11′ 19.5″,5.93,-0.07,517,G8III,
V1156 Tau,,,,V1156,33204,24019,05h 09m 45.06s,+28° 01′ 50.2″,5.93,2.24,178,A5m,member of the Hyades star cluster
,,,,,26171,19376,04h 09m 01.56s,+13° 23′ 53.9″,5.94,0.26,445,B9.5V,
7 Tau,,7,,,22091,16664,03h 34m 26.62s,+24° 27′ 52.1″,5.95,-0.06,519,A3V,
,,,,,24357,18170,03h 53m 09.96s,+17° 19′ 37.8″,5.97,2.88,135,F4V,member of the Hyades star cluster
,,,,,27901,20614,04h 24m 57.06s,+19° 02′ 31.5″,5.97,2.52,160,F4V,member of the Hyades star cluster
,,,,,30912,22697,04h 52m 47.09s,+27° 53′ 51.3″,5.97,0.81,352,F2IV,
,,,,,30197,22176,04h 46m 16.78s,+18° 44′ 05.5″,5.99,1.16,302,K4III,
V1141 Tau,,,,V1141,27742,20493,04h 23m 32.36s,+20° 58′ 55.7″,6,0.15,482,B8IV-V,
129 Tau,,129,,,38478,27265,05h 46m 45.49s,+15° 49′ 21.0″,6,-1.15,879,B8IIIMNp...,
85 Tau,,85,,,28677,21137,04h 31m 51.69s,+15° 51′ 05.9″,6.01,2.75,147,F4V...,member of the Hyades star cluster
59 G. Tau,,,59,,28930,21269,04h 33m 48.18s,+09° 24′ 49.0″,6.01,0.21,470,G8III,
V1116 Tau,,,,V1116,29169,21459,04h 36m 29.07s,+23° 20′ 27.5″,6.01,2.78,144,F5IV,δ Sct variable; member of the Hyades star cluster
,,,,,26015,19261,04h 07m 41.91s,+15° 09′ 46.2″,6.02,2.66,153,F3V,member of the Hyades star cluster
,,,,,21051,15850,03h 24m 10.11s,+12° 37′ 46.7″,6.03,0.27,462,K0III-IV,
,,,,,38670,27421,05h 48m 22.36s,+20° 52′ 10.3″,6.03,-0.28,595,B9Vn,
,,,,,39970,28154,05h 56m 56.12s,+24° 14′ 58.9″,6.03,,,A0Ia,
,,,,,23950,17921,03h 49m 55.06s,+22° 14′ 39.3″,6.05,1.08,321,B8III,
33 Tau,,33,,V817,24769,18485,03h 57m 03.80s,+23° 10′ 32.1″,6.05,-0.01,531,B9.5IV,V817 Tau
V1143 Tau,,,51,V1143,28114,20715,04h 26m 21.10s,+08° 35′ 25.0″,6.06,-0.25,597,B6IV,β Cep variable
,,,,,23258,17453,03h 44m 28.19s,+20° 55′ 43.6″,6.09,1.72,243,A0V,
24 G. Tau,,,24,,24817,18481,03h 57m 01.70s,+06° 02′ 24.5″,6.09,1.7,246,A2Vn,
,,,,,26546,19641,04h 12m 31.32s,+17° 16′ 39.0″,6.09,1.38,285,K0III,
96 Tau,,96,,,30605,22441,04h 49m 44.08s,+15° 54′ 15.3″,6.09,-2.09,1411,K3III,
110 Tau,,110,,,35189,25216,05h 23m 37.72s,+16° 41′ 57.7″,6.09,0.41,445,A2IV,
11 Tau,,11,,,22805,17181,03h 40m 46.30s,+25° 19′ 46.3″,6.11,0.09,522,A2IV,
,,,,,27429,20255,04h 20m 25.04s,+18° 44′ 33.8″,6.11,2.73,154,F3:V...,member of the Hyades star cluster
14 G. Tau,,,14,,22819,17120,03h 39m 59.55s,−01° 07′ 16.4″,6.12,0.56,421,G5,
,,,,,34579,24820,05h 19m 14.71s,+20° 08′ 04.8″,6.12,0.51,431,G8III+...,
14 Tau,,14,,,23183,17408,03h 43m 47.14s,+19° 39′ 54.6″,6.13,0.99,347,G8III,
,,,,,22072,16641,03h 34m 08.32s,+17° 50′ 00.9″,6.14,3,138,K1IVe...,
V1137 Tau,,,,V1137,26571,19672,04h 12m 51.25s,+22° 24′ 48.5″,6.14,-1.36,1032,B9IIIsp...,α² CVn variable
53 G. Tau,,,53,,28322,20848,04h 28m 03.62s,+01° 51′ 30.9″,6.14,0.99,349,G9III,
,,,,,27483,20284,04h 20m 52.66s,+13° 51′ 52.1″,6.15,2.84,150,F6V...,member of the Hyades star cluster
,,,,,23923,17900,03h 49m 43.52s,+23° 42′ 43.1″,6.17,0.84,380,B8V,
,,,,,22695,17058,03h 39m 25.73s,+16° 32′ 12.4″,6.18,0.72,403,K0III,
95 Tau,,95,,,29859,21961,04h 43m 13.75s,+24° 05′ 20.3″,6.18,2.69,163,F7IV-V,
,,,,,24802,18508,03h 57m 26.39s,+24° 27′ 43.0″,6.19,-1.4,1072,K0,
,,,,,36589,26072,05h 33m 38.84s,+20° 28′ 27.2″,6.19,-0.76,799,B6V,
,,,,,32482,23589,05h 04m 21.58s,+21° 16′ 40.8″,6.2,-0.18,615,K0,
,,,,,34810,24977,05h 20m 56.62s,+19° 48′ 51.7″,6.2,-0.21,625,K0III,
,,,,,29459,21689,04h 39m 23.14s,+25° 13′ 05.9″,6.21,0.97,363,A5Vn,
52 G. Tau,,,52,,28191,20771,04h 27m 00.66s,+02° 04′ 46.4″,6.23,0.81,395,K1III,
113 Tau,,113,,,35532,25410,05h 26m 05.72s,+16° 42′ 00.6″,6.23,-0.28,655,B2Vn,
V731 Tau,,,,V731,37967,26964,05h 43m 19.50s,+23° 12′ 15.9″,6.23,-1.41,1098,B2.5Ve,γ Cas variable; Be star
40 G. Tau,,,40,,26676,19720,04h 13m 34.55s,+10° 12′ 45.1″,6.24,0.3,502,B8Vn,
,,,,,28867,21251,04h 33m 33.04s,+18° 01′ 00.3″,6.24,0.68,423,B9IVn,
,,,,,26703,19736,04h 13m 49.83s,+12° 45′ 13.5″,6.25,1.04,359,K0,
108 Tau,,108,,,34053,24512,05h 15m 27.66s,+22° 17′ 05.5″,6.26,-0.26,657,A2V,
,,,,,36859,26291,05h 35m 55.52s,+27° 39′ 44.7″,6.27,-0.68,799,K0,
24 Tau,,24,,,23629,,03h 47m 20.90s,+24° 06′ 58.0″,6.28,,,A0V,
84 Tau,,84,,V1146,28595,21082,04h 31m 07.16s,+15° 06′ 18.6″,6.28,0.55,455,M3III,V1146 Tau
,,,,,21379,16095,03h 27m 18.67s,+12° 44′ 07.1″,6.29,1.2,340,A0Vs,
,,,,,36160,25806,05h 30m 43.32s,+22° 27′ 44.3″,6.29,0.87,395,K0,
V766 Tau,,,,V766,24155,18033,03h 51m 15.86s,+13° 02′ 46.1″,6.3,0.63,443,B9p Si,α² CVn variable
,,,,,25175,18717,04h 00m 36.89s,+17° 17′ 48.2″,6.31,-0.95,924,A0V,
48 Tau,,48,,V1099,26911,19877,04h 15m 46.21s,+15° 24′ 02.7″,6.31,3.07,145,F5Vvar,V1099 Tau; member of the Hyades star cluster
47 G. Tau,,,47,,27386,20188,04h 19m 37.43s,+10° 07′ 17.5″,6.31,0.05,583,K0,
V774 Tau,,,45,V774,26923,19859,04h 15m 28.86s,+06° 11′ 13.6″,6.32,4.69,69,G0IV...,BY Draconis variable
,,,,,29104,21408,04h 35m 42.57s,+19° 52′ 54.6″,6.33,0.56,464,G5II-III+...,
,,,,,31362,22949,04h 56m 15.59s,+24° 35′ 32.1″,6.33,3.15,141,F0,
62 Tau,,62,,,27778,20533,04h 23m 59.76s,+24° 18′ 03.7″,6.34,-0.4,726,B3V,
,,,,,30122,22128,04h 45m 42.46s,+23° 37′ 40.9″,6.34,-0.33,704,B5III,
,,,,,24368,18201,03h 53m 34.46s,+25° 40′ 58.7″,6.35,0.52,478,A2V,
25 G. Tau,,,25,,25102,18658,03h 59m 40.41s,+10° 19′ 49.5″,6.35,3.38,128,F5V,member of the Hyades star cluster
,,,,,34762,24984,05h 20m 59.34s,+27° 57′ 26.3″,6.35,-0.29,695,B9IV,
,,,,,37784,26853,05h 42m 03.99s,+22° 39′ 37.4″,6.35,1.14,359,K2,
,,,,,31236,22850,04h 54m 58.32s,+19° 29′ 07.6″,6.36,2.19,222,F3IV,member of the Hyades star cluster
1 G. Tau,,,1,,21018,15807,03h 23m 38.99s,+04° 52′ 55.6″,6.37,-1.3,1116,G5III,
,,,,,28086,20698,04h 26m 01.34s,+04° 22′ 24.6″,6.37,-0.06,631,K0,
58 G. Tau,,,58,,28736,21152,04h 32m 04.74s,+05° 24′ 36.1″,6.37,3.19,141,F5V,member of the Hyades star cluster
,,,,,28271,20904,04h 28m 51.98s,+30° 21′ 41.5″,6.38,2.71,177,F7V,
,,,,,22522,16924,03h 37m 47.82s,+15° 25′ 50.2″,6.4,2.05,241,A5IV,
5 G. Tau,,,5,,21585,16226,03h 29m 03.80s,+03° 14′ 55.3″,6.41,0.68,455,G5,
,,,,,27860,20558,04h 24m 14.47s,+12° 09′ 28.9″,6.42,-0.28,713,K0,
,,,,,37439,26616,05h 39m 27.11s,+21° 45′ 46.8″,6.42,-0.11,660,A1Vn,
Sterope II,,22,,,23441,17588,03h 46m 02.89s,+24° 31′ 40.8″,6.43,1.25,354,A0Vn,Asterope; member of the Pleiades star cluster
,,,,,23712,17759,03h 48m 06.56s,+24° 59′ 18.5″,6.44,-0.33,738,K5,
70 Tau,,70,,,27991,20661,04h 25m 37.25s,+15° 56′ 27.9″,6.44,3.1,152,F7V,member of the Hyades star cluster
,,,,,37329,26571,05h 38m 57.36s,+26° 37′ 05.1″,6.45,0.87,426,G9III,
2 G. Tau,,,2,,21032,15800,03h 23m 36.31s,+00° 54′ 37.1″,6.47,1.2,369,K0,
26 Tau,,26,,,23822,17832,03h 48m 56.91s,+23° 51′ 26.2″,6.47,2.11,243,F0,
55 G. Tau,,,55,,28505,20985,04h 30m 02.30s,+10° 15′ 44.7″,6.47,1.22,365,G8III,
,,,,,38263,27116,05h 45m 01.30s,+12° 53′ 18.1″,6.47,1.33,348,A3,
,,,,,32642,23695,05h 05m 32.11s,+19° 48′ 24.3″,6.48,0.71,464,A5m,
,,,,,38524,27353,05h 47m 34.66s,+25° 34′ 07.1″,6.48,-0.95,997,K1III,
9 G. Tau,,,9,,22211,16695,03h 34m 49.10s,+06° 25′ 03.8″,6.49,0.84,439,G0,
