Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
V372 Peg,,,,V372,207223,107558,21h 47m 04.70s,+17° 11′ 38.7″,6.18,2.67,164,F3V,
,,,,,210460,109439,22h 10m 18.96s,+19° 36′ 59.6″,6.18,2.46,181,G0V,
31 G. Peg,,,31,,211976,110341,22h 20m 55.77s,+08° 11′ 12.1″,6.18,3.67,104,F6V,
,,,,,224303,118048,23h 56m 41.52s,+22° 38′ 53.2″,6.18,-0.15,603,M2III,
3 Peg,,3,6,,205811,106783,21h 37m 43.61s,+06° 37′ 06.2″,6.19,1.71,257,A2V,
60 Peg,,60,,,218935,114526,23h 11m 49.31s,+26° 50′ 51.3″,6.19,1.84,242,G8III-IV,
33 Peg,,33,,,212395,110548,22h 23m 39.36s,+20° 50′ 53.8″,6.2,3.55,111,F7V,
29 G. Peg,,,29,,211287,109939,22h 15m 59.81s,+08° 32′ 58.6″,6.21,0.79,395,A1Vn,
,,,,,205541,106605,21h 35m 27.03s,+24° 27′ 07.9″,6.22,-0.41,689,A4V,
,,,,,417,716,00h 08m 52.07s,+25° 27′ 46.3″,6.24,0.69,419,K0III,
,,,,,225276,399,00h 04m 55.93s,+26° 38′ 55.7″,6.25,-0.11,610,K4IIIb,
,,,,,1048,1193,00h 14m 55.87s,+22° 17′ 03.3″,6.25,1.06,355,A1p,
,,,,,205539,106595,21h 35m 19.02s,+28° 11′ 51.7″,6.25,1.97,235,F0IV,
,,,,,212670,110696,22h 25m 40.68s,+18° 26′ 39.3″,6.26,0.05,568,K0,
74 Peg,,74,,,222098,116592,23h 37m 39.66s,+16° 49′ 31.8″,6.26,1.02,363,A1V,
,,,,,202128,104771,21h 13m 28.77s,+15° 58′ 56.8″,6.27,1.51,292,A7Vn,
,,,,,207563,107734,21h 49m 26.87s,+20° 27′ 44.8″,6.27,-2.49,1842,B2V,
HO Peg,,,,HO,207932,107956,21h 52m 18.17s,+21° 16′ 23.2″,6.27,-1.69,1273,M8III,
45 Peg,,45,,,215510,112358,22h 45m 28.19s,+19° 21′ 59.1″,6.27,1.11,351,G6III:,
,,,,,207134,107502,21h 46m 23.84s,+25° 33′ 48.1″,6.28,0.98,374,K3III:,
65 Peg,,65,,,220318,115407,23h 22m 40.50s,+20° 49′ 43.5″,6.28,0.41,487,B9.5V,
,,,,,210594,109493,22h 10m 51.70s,+30° 33′ 11.0″,6.3,0.76,418,A8IV,
,,,,,214298,111649,22h 37m 04.86s,+12° 34′ 36.8″,6.3,-0.74,836,K5,
76 Peg,,76,,,222683,116972,23h 42m 43.81s,+16° 20′ 08.5″,6.3,0.82,406,K0,
OY Peg,,,,OY,210090,109212,22h 07m 29.95s,+18° 00′ 02.8″,6.31,-1,945,M1,
,,,,,219927,115148,23h 19m 27.40s,+34° 47′ 35.5″,6.32,-0.33,697,B8III,
GX Peg,,,,GX,213534,111191,22h 31m 34.37s,+29° 32′ 34.2″,6.33,0.85,408,A5m,δ Sct variable
41 Peg,,41,,,214698,111884,22h 39m 47.01s,+19° 40′ 52.1″,6.33,-0.12,635,A2V,
,,,,,219110,114607,23h 13m 04.01s,+29° 26′ 29.8″,6.34,0.78,422,G8III,
,,,,,213644,111296,22h 32m 46.90s,+15° 51′ 47.6″,6.35,-0.3,698,K0,
,,,,,208202,108119,21h 54m 17.44s,+19° 43′ 05.3″,6.36,1.12,364,K0III+...,
,,,,,209288,108766,22h 02m 01.37s,+10° 58′ 25.7″,6.36,-1.71,1342,B5IIIn,
,,,,,209693,108969,22h 04m 34.51s,+32° 56′ 30.3″,6.36,-0.99,962,G5Ia,
,,,,,210461,109445,22h 10m 22.02s,+14° 37′ 47.7″,6.36,0.79,424,K0III,
,,,,,214979,112032,22h 41m 31.28s,+30° 57′ 57.1″,6.36,-0.67,832,K5,
,,,,,219310,114742,23h 14m 36.42s,+24° 06′ 10.4″,6.36,0.41,504,K2III,
,,,,,215549,112368,22h 45m 34.64s,+30° 26′ 36.3″,6.37,2.59,186,K1III-IV,
,,,,,209709,109009,22h 05m 03.47s,+14° 48′ 57.4″,6.38,0.41,509,M2.5III:,
,,,,,211432,109977,22h 16m 29.66s,+27° 48′ 14.5″,6.38,0.94,399,G9III,
,,,,,220288,115389,23h 22m 28.58s,+25° 55′ 06.6″,6.38,-1.22,1079,K3III,
2 G. Peg,,,2,,204445,106021,21h 28m 24.83s,+08° 11′ 44.6″,6.39,-0.83,906,M1,
HD 208527,,,,,208527,108296,21h 56m 23.98s,+21° 14′ 23.4″,6.39,-1.34,1148,M1III[2],
HR Peg,,,,HR,216672,113131,22h 54m 35.62s,+16° 56′ 30.7″,6.39,-0.97,967,"S5,1",
3 G. Peg,,,3,,204603,106103,21h 29m 34.49s,+06° 34′ 53.0″,6.41,-0.6,823,K0,
,,,,,219291,114725,23h 14m 21.72s,+29° 46′ 18.7″,6.41,1.15,368,F6IVw,
V354 Peg,,,,V354,221394,116119,23h 31m 43.05s,+28° 24′ 12.7″,6.41,0.57,481,A1p Sr(CrEu),α² CVn variable
,,,,,221493,116187,23h 32m 29.03s,+23° 50′ 37.2″,6.41,-0.23,694,K5,
,,,,,204560,106064,21h 28m 59.92s,+17° 54′ 21.3″,6.42,0.31,544,K5,
,,,,,214203,111601,22h 36m 36.34s,+11° 41′ 47.8″,6.42,1.11,376,A1III,
,,,,,224758,34,00h 00m 23.87s,+26° 55′ 05.7″,6.43,1.95,256,F7.5IV-V,
,,,,,205011,106306,21h 31m 50.15s,+23° 50′ 42.6″,6.43,0.43,517,G8Ib,
,,,,,206793,107297,21h 43m 58.12s,+22° 48′ 55.4″,6.43,0.16,585,K2,
39 Peg,,39,,,213617,111278,22h 32m 35.38s,+20° 13′ 47.8″,6.43,2.81,172,F1V,
41 G. Peg,,,41,,217166,113445,22h 58m 34.85s,+09° 21′ 26.0″,6.43,3.98,101,G2V+...,
,,,,,218101,113994,23h 05m 06.40s,+16° 33′ 48.1″,6.43,3.4,132,G8IV,
,,,,,218261,114096,23h 06m 31.71s,+19° 54′ 39.0″,6.44,4.18,92,F7V,
,,,,,221905,116465,23h 35m 55.94s,+24° 33′ 39.6″,6.44,-1.49,1254,M1III,
,,,,,205420,106527,21h 34m 33.97s,+22° 45′ 16.7″,6.45,2.25,226,F7V,
28 Peg,,28,,,210516,109458,22h 10m 30.18s,+20° 58′ 40.8″,6.45,-0.09,663,A3III,
,,,,,221113,115915,23h 29m 05.70s,+23° 02′ 53.8″,6.45,0.44,520,G9III,
V363 Peg,,,,V363,224186,117986,23h 55m 54.63s,+15° 13′ 49.1″,6.45,-0.35,746,M3,
,,,,,209149,108632,22h 00m 26.71s,+33° 00′ 20.8″,6.46,2.35,217,F5III,
PT Peg,,,,PT,212047,110346,22h 21m 00.05s,+26° 56′ 06.6″,6.46,-0.47,793,M4III,
,,,,,225292,410,00h 05m 01.13s,+27° 40′ 29.3″,6.47,0.88,427,G8II,
,,,,,434,728,00h 09m 00.16s,+28° 14′ 51.2″,6.47,1.16,377,A4Vm,
,,,,,205422,106550,21h 34m 45.89s,+18° 19′ 44.0″,6.47,-0.3,736,K2,
10 G. Peg,,,10,,206689,107271,21h 43m 39.79s,+07° 31′ 43.7″,6.47,0.89,426,K0,
,,,,,219196,114686,23h 13m 59.34s,+19° 38′ 02.1″,6.47,-0.47,795,K2,
,,,,,213025,110907,22h 28m 11.15s,+27° 01′ 08.0″,6.48,0.63,482,G8III,
,,,,,205603,106643,21h 36m 05.09s,+15° 04′ 56.0″,6.5,0.82,447,G8II,
,,,,,208897,108513,21h 58m 59.64s,+19° 01′ 13.4″,6.5,2.48,208,K0,
,,,,,210890,109691,22h 13m 10.01s,+18° 16′ 47.6″,6.5,-0.31,751,K2,
,,,,,211076,109788,22h 14m 18.45s,+17° 11′ 22.4″,6.5,1.07,398,K4III,
61 Peg,,61,,,219477,114844,23h 15m 46.28s,+28° 14′ 52.5″,6.51,-0.83,956,G5III,
HD 220773,,,,,220773,115697,23h 26m 27.0s,+08° 38′ 38″,7.09,,160,F9,has a planet (b)
V376 Peg,,,,V376,209458,108859,22h 03m 10.77s,+18° 53′ 03.6″,7.65,4.28,154,F8-G0V,has the transiting planet HD 209458 b (Osiris)
HD 219828,,,,,219828,115100,23h 18m 46.73s,+18° 38′ 44.6″,8.02,3.47,264,G0IV,has two planets (b & c)
HD 214823,,,,,214823,111928,22h 40m 19.9s,+31° 47′ 15″,8.08,,,G0V,has a planets (b)
HIP 109600,,,,,,109600,22h 12m 06.0s,+29° 03′ 57″,9.16,,191,G5,has a planets (b)
BD+14°4559,,,,,,104780,21h 13m 35.99s,+14° 41′ 21.8″,9.66,6.17,163,K2V,has a planet (b)
HAT-P-8,,,,,,,22h 52m 09.86s,+35° 26′ 49.6″,10.17,3.36,750,,has a transiting planet (b)
WASP-21,,,,,,,23h 09m 58.25s,+18° 23′ 45.9″,11.55,4.75,750,G3V,has a transiting planet (b)
WASP-52,,,,,,,23h 13m 59.0s,+08° 45′ 41″,12,,457,K2V,has a transiting planet (b)
WASP-60,,,,,,,23h 15m 58s,+31° 27′ 46″,12.18,,1305,G1V,has a transiting planet (b)
WASP-10,,,,,,,23h 15m 58s,+31° 27′ 46″,12.7,7.9,290,K0V,has a transiting planet (b)
WASP-102,,,,,,,22h 25m 51.4s,+15° 51′ 24″,12.73,,,G0,has a transiting planet (b)
WASP-114,,,,,,,21h 50m 40.0s,+10° 27′ 47″,12.74,,1500,G0,has a transiting planet (b)
WASP-59,,,,,,,23h 18m 30.0s,+24° 53′ 21″,13,,408,K5V,has a transiting planet (b)
V391 Pegasi,,,,V391,,,22h 04m 12.2s,+26° 25′ 08″,14.57,3.84,4561,sdB,has a planet (b)
"Table legend: 
[TABLE]",,,,,,,,,,,,,
