Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 154310,,,,154310,83693,17h 06m 20.20s,−37° 13′ 39.1″,5.98,0.42,422,A2IV,
HD 158105,,,,158105,85543,17h 28m 56.09s,−36° 46′ 41.8″,5.98,-0.47,637,K0III,
HD 150894,,,,150894,81992,16h 45m 00.21s,−28° 30′ 34.8″,5.99,-0.83,755,A3IV,
V906 Sco,,,V906,162724,87616,17h 53m 54.77s,−34° 45′ 09.8″,6,-1.45,1009,B9V + B9V,"In Messier 7, Algol variable, *V*max = 5.96m, *V*min = 6.23m, *P* = 2.79 d"
BM Sco,,,BM,160371,86527,17h 40m 58.55s,−32° 12′ 52.0″,6.01,-2.35,1531,K3III + (G),"in Messier 6; slow irregular variable, *V*max = 5.25m, *V*min = 6.46m"
HD 162517,,,,162517,87532,17h 52m 57.60s,−35° 37′ 27.1″,6.03,1.99,209,F2V,
HD 150608,,,,150608,81904,16h 43m 47.60s,−38° 09′ 22.5″,6.05,-0.62,703,B9II/III,
HD 153072,,,,153072,83100,16h 58m 52.25s,−37° 37′ 13.5″,6.05,1.47,269,A3III,suspected variable
HD 162496,,,,162496,87516,17h 52m 49.22s,−34° 06′ 53.4″,6.05,-0.6,697,K1III,
HD 162926,,,,162926,87722,17h 55m 08.03s,−36° 28′ 32.3″,6.05,-0.75,748,B9.5III,
HD 146001,,,,146001,79622,16h 14m 53.44s,−25° 28′ 36.9″,6.06,0.3,462,B8V,α2 CVn variable
HD 152248,,,V1007,152248,82691,16h 54m 10.06s,−41° 49′ 30.1″,6.06,,,O7e,"in NGC 6231; β Lyr variable, Δ*V* = 0.24m, *P* = 5.82 d"
HD 143619,,,,143619,78575,16h 02m 39.40s,−29° 08′ 08.8″,6.07,0.37,451,K2/K3III,
HD 148760,,,,148760,80910,16h 31m 22.87s,−26° 32′ 15.2″,6.07,1.87,225,K1III,
HD 146254,,,,146254,79692,16h 15m 51.49s,−14° 50′ 56.8″,6.09,-0.28,614,A0III,"suspected variable, *V*max = 6.06m, *V*min = 6.10m"
HD 155974,,,,155974,84489,17h 16m 21.68s,−35° 44′ 58.1″,6.09,3.55,105,F6V,
HD 159707,,,,159707,86311,17h 38m 08.45s,−42° 52′ 48.7″,6.09,-0.54,692,B8V,
HD 151771,,,,151771,82453,16h 51m 00.04s,−37° 30′ 52.1″,6.1,-0.99,853,B8II/III,suspected variable
HD 162817,,,,162817,87671,17h 54m 27.12s,−34° 28′ 00.2″,6.1,-0.96,842,B9.5/A0III,
RR Sco,,,RR,152783,82912,16h 56m 37.85s,−30° 34′ 48.1″,6.1,,1150,M6IIIe,"Mira variable, *V*max = 5m, *V*min = 12.4m, *P* = 281.45 d"
HD 146954,,,,146954,80066,16h 20m 32.63s,−39° 25′ 48.8″,6.11,0.2,496,B9V,
HD 154368,,,V1074,154368,83706,17h 06m 28.37s,−35° 27′ 03.7″,6.13,-2.85,2040,O9.5Iab,α Cyg variable
HD 150591,,,,150591,81914,16h 43m 54.09s,−41° 06′ 47.9″,6.14,0.28,485,B6/B7V,suspected variable
HD 157486,,,,157486,85237,17h 25m 02.67s,−34° 41′ 45.6″,6.14,0.19,505,Ap...,
HD 162586,,,,162586,87567,17h 53m 19.58s,−34° 43′ 50.9″,6.14,-0.88,825,B4III,in Messier 7
HD 142250,,,,142250,77900,15h 54m 30.12s,−27° 20′ 18.9″,6.15,0.09,531,B7V,has a planet (b)
HR 6522,,,V949,158741,85839,17h 32m 24.64s,−34° 16′ 45.6″,6.16,1.06,341,F2IV,"δ Sct variable, *V*max = 6.13m, *V*min = 6.18m, *P* = 0.22 d"
HD 144927,,,,144927,79173,16h 09m 31.76s,−32° 38′ 56.2″,6.18,1.07,344,K1III,
V861 Sco,,,V861,152667,82911,16h 56m 35.98s,−40° 49′ 24.4″,6.18,,,B0Ia,"in Trumpler 24; β Lyr variable, *V*max = 6.07m, *V*min = 6.4m, *P* = 7.85 d"
HD 154153,,,,154153,83650,17h 05m 48.47s,−44° 06′ 18.4″,6.18,2.08,215,A4III,
HD 162396,,,,162396,87523,17h 52m 52.47s,−41° 59′ 45.8″,6.19,3.62,107,F8V,
HD 155940,,,,155940,84445,17h 15m 51.36s,−30° 12′ 38.2″,6.2,0.92,370,B9/B9.5V,
RS Sco,,,RS,152476,82833,16h 55m 37.81s,−45° 06′ 10.7″,6.2,-0.08,588,M6-7e,"Mira variable, *V*max = 5.96m, *V*min = 13.0m, *P* = 319 d"
HD 150573,,,,150573,81903,16h 43m 45.70s,−41° 07′ 08.9″,6.21,0.61,430,A4V,
HD 143900,,,,143900,78699,16h 03m 54.71s,−24° 43′ 34.8″,6.22,-0.09,597,K2/K3III,
HD 159633,,,,159633,86246,17h 37m 26.92s,−38° 03′ 58.9″,6.26,-3.44,2835,G2Ib,
HD 154025,,,,154025,83594,17h 05m 05.39s,−45° 30′ 07.4″,6.28,1.33,319,A2V,
HD 163433,,,,163433,87948,17h 57m 57.80s,−39° 08′ 11.3″,6.28,0.29,513,A0IV/V,
V900 Sco,,,V900,152235,82669,16h 53m 58.85s,−41° 59′ 39.6″,6.29,,,B1Ia,"in Trumpler 24; rotating ellipsoidal variable, *V*max = 6.29m, *V*min = 6.34
m, *P* = 2.63 d"
HD 146834,,,,146834,79945,16h 19m 07.71s,−20° 13′ 04.9″,6.29,0.4,490,K0III,
HD 152636,,,,152636,82855,16h 55m 57.74s,−33° 30′ 24.8″,6.29,0.03,581,K5III,
ν Sco C,ν,14,,145501,,16h 11m 58.60s,−19° 26′ 59.0″,6.3,,,,component of the ν Sco system; α2 CVn variable
HD 152424,,,,152424,82783,16h 55m 03.33s,−42° 05′ 27.0″,6.3,,,O9Ia,in Trumpler 24
HD 155276,,,,155276,84151,17h 12m 16.55s,−38° 49′ 20.7″,6.3,1.03,370,K1IIICN...,
HD 158042,,,,158042,85549,17h 29m 00.86s,−43° 58′ 26.0″,6.3,-2.04,1516,B5III,
HD 144585,,,,144585,78955,16h 07m 03.53s,−14° 04′ 16.8″,6.32,4.02,94,G5V,
HD 144661,,,,144661,79031,16h 07m 51.90s,−24° 27′ 44.2″,6.32,0.97,384,B8IV/V,
HD 145997,,,,145997,79605,16h 14m 39.30s,−18° 32′ 07.2″,6.32,1.63,282,K1III,
HD 157038,,,V975,157038,85020,17h 22m 39.22s,−37° 48′ 16.7″,6.33,,,B4Ia+...,"α Cyg variable, *V*max = 6.27m, *V*min = 6.35m"
HD 152431,,,,152431,82731,16h 54m 35.94s,−30° 35′ 14.4″,6.34,-0.09,631,A5IIIm...,suspected variable
HD 151965,,,V911,151965,82554,16h 52m 27.42s,−40° 43′ 23.2″,6.35,0.07,588,B9p Si,"α² CVn variable, *V*max = 6.32m, *V*min = 6.38m"
V1077 Sco,,,V1077,156325,84650,17h 18m 20.51s,−32° 33′ 11.1″,6.36,-1.57,1259,B5III,Be star
HD 158156,,,,158156,85589,17h 29m 25.60s,−38° 31′ 01.0″,6.38,1.34,332,A1V,
HD 162678,,,,162678,,17h 53m 45.50s,−34° 47′ 09.7″,6.38,,980,B9V,in Messier 7
HD 145792,,,V1051,145792,79530,16h 13m 45.50s,−24° 25′ 19.4″,6.4,0.69,453,B6IV,SX Ari variable
HD 146436,,,,146436,79788,16h 16m 59.20s,−20° 06′ 14.7″,6.4,-0.03,631,G8III,
HD 145964,,,,145964,79599,16h 14m 28.89s,−21° 06′ 27.2″,6.41,1.29,345,B9V,
