Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 33608,,,,33608,24162,05h 11m 19.13s,−02° 29′ 26.8″,5.89,2.97,125,F5V,
HD 40020,,,,40020,28139,05h 56m 49.39s,+11° 31′ 16.3″,5.89,1.02,307,K2III,
59 Ori,,59,V1004,40372,28271,05h 58m 24.44s,+01° 50′ 13.7″,5.89,0.72,353,A5me,"δ Sct variable, *V*max = 5.88m, *V*min = 5.92m, *P* = 0.06 d"
HD 33833,,,,33833,24294,05h 12m 48.12s,−06° 03′ 25.6″,5.9,0.22,446,G7III,
HD 32263,,,,32263,23408,05h 01m 50.35s,+00° 43′ 19.8″,5.91,-0.01,498,K0,
HD 43112,,,,43112,29678,06h 15m 08.46s,+13° 51′ 03.9″,5.91,-2.21,1370,B1V,suspected variable
HD 36780,,,,36780,26108,05h 34m 04.06s,−01° 28′ 12.7″,5.92,-1.14,842,K5III,
57 Ori,,57,,39698,27965,05h 54m 56.69s,+19° 44′ 58.6″,5.92,-2.25,1405,B2V,suspected variable
HD 36162,,,,36162,25790,05h 30m 26.17s,+15° 21′ 38.0″,5.93,0.81,344,A3Vn,
HD 37788,,,,37788,26762,05h 41m 05.59s,+00° 20′ 15.7″,5.93,2.38,168,F0IV,
HD 38529,,,,38529,27253,05h 46m 34.96s,+01° 10′ 06.7″,5.94,2.8,138,G4V,binary star; has a planet and a brown dwarf
HD 39421,,,,39421,27713,05h 52m 07.73s,−09° 02′ 31.1″,5.95,0.62,379,A2Vn,
HD 37481,,,,37481,26535,05h 38m 37.97s,−06° 34′ 26.2″,5.96,-2.45,1567,B1.5IV,suspected variable
HD 39051,,,,39051,27560,05h 50m 13.06s,+04° 25′ 24.6″,5.96,0,507,K2III,
HD 39286,,,,39286,27747,05h 52m 23.41s,+19° 52′ 04.3″,5.96,-2.16,1370,B9V + G,suspected variable
HD 37171,,,,37171,26386,05h 37m 04.35s,+11° 02′ 06.2″,5.97,-1.04,821,K4II SB,"variable star, Δ*V* = 0.013m, *P* = 1.56 d"
HD 38089,,,,38089,26926,05h 42m 53.91s,−06° 47′ 46.7″,5.97,2.47,163,F3V,
HD 38858,,,,38858,27435,05h 48m 34.90s,−04° 05′ 38.7″,5.97,5.01,51,G4V,has a planet; suspected variable
HD 39118,,,,"39118
39119",27588,05h 50m 30.03s,+02° 01′ 29.0″,5.97,-1.73,1128,G8III+...,suspected variable
HD 39885,,,,39985,28110,05h 56m 28.04s,+09° 30′ 33.9″,5.97,-0.68,697,A0IV,
HD 31331,,,,31331,22840,04h 54m 50.71s,+00° 28′ 01.8″,5.98,-1.38,964,B5V,
HD 35281,,,,35281,25187,05h 23m 18.51s,−08° 24′ 56.1″,5.99,0.09,493,B8+...,
HD 37594,,,,37594,26624,05h 39m 31.15s,−03° 33′ 53.0″,5.99,2.91,135,A8Vs,
HD 39775,,,,39775,27939,05h 54m 44.04s,+00° 58′ 07.0″,5.99,-1.03,827,K0III,
HD 44497,,,,44497,30318,06h 22m 36.42s,+12° 34′ 13.1″,6,2,205,F0III,
HD 37303,,,,37303,26427,05h 37m 27.36s,−05° 56′ 18.2″,6.03,-2.07,1358,B1Vvar,suspected variable
HD 30545,,,,30545,22354,04h 48m 44.63s,+03° 35′ 18.8″,6.04,-0.64,707,K1III,
HD 32686,,,,32686,23643,05h 04m 54.53s,−03° 02′ 22.8″,6.04,-3.83,3075,B5IV,
V1031 Ori,,,V1031,38735,27341,05h 47m 26.90s,−10° 31′ 58.5″,6.04,-0.47,653,A4V,"Algol variable, *V*max = 6.02m, *V*min = 6.43m, *P* = 3.41 d"
HD 42477,,,,42477,29371,06h 11m 27.91s,+13° 38′ 19.0″,6.04,0.44,430,A0Vnn,
HD 43285,,,,43285,29728,06h 15m 40.18s,+06° 03′ 58.3″,6.07,-0.72,743,B6V,
HD 33883,,,,33883,24349,05h 13m 31.55s,+01° 58′ 03.7″,6.08,-1.07,879,A5V,
