Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
,,,,103736,58259,11h 56m 53.27s,+61° 32′ 57.5″,6.22,-0.15,612,G8III,
EZ UMa,,,EZ,80953,46247,09h 25m 44.19s,+63° 56′ 27.7″,6.24,-0.73,809,K2III,
,,,,102942,57805,11h 51m 09.51s,+33° 22′ 29.9″,6.25,2.25,205,Am,
,,,,84812,48266,09h 50m 23.67s,+65° 35′ 35.9″,6.27,1.41,306,A9Vn,
,,,,101604,57045,11h 41m 43.52s,+55° 10′ 19.2″,6.28,-1.17,1006,K5,
CQ UMa,,,CQ,119213,66700,13h 40m 21.44s,+57° 12′ 27.2″,6.28,1.55,288,A4p SrCrEu,α² CVn variable
,,,,85583,48638,09h 55m 03.35s,+61° 06′ 58.1″,6.29,0.91,389,K0,
,,,,99859,56083,11h 29m 43.66s,+56° 44′ 15.6″,6.29,2.13,221,A4m,
,,,,101151,56784,11h 38m 32.33s,+33° 37′ 33.1″,6.29,-0.16,634,K2III,
,,,,101177,56809,11h 38m 45.39s,+45° 06′ 30.2″,6.29,4.45,76,G0V,
,,,,81025,46168,09h 24m 55.64s,+51° 34′ 26.1″,6.3,0.69,432,G2III,
EE UMa,,,EE,99967,56135,11h 30m 24.83s,+46° 39′ 26.9″,6.3,-1.1,985,K2IIICN-1,
,,,,71553,41927,08h 32m 53.27s,+69° 19′ 11.9″,6.31,-0.08,619,K0,
,,,,87243,49408,10h 05m 10.40s,+52° 22′ 16.7″,6.31,1.28,330,A5IV,
,,,,119124,66704,13h 40m 23.35s,+50° 31′ 09.4″,6.31,4.3,82,F7.7V,
35 UMa,,35,,90633,51401,10h 29m 54.43s,+65° 37′ 34.7″,6.32,1.41,313,K2III:,
,,,,97501,54842,11h 13m 40.10s,+41° 05′ 19.7″,6.33,1.29,332,K2III,
,,,,99373,55821,11h 26m 25.58s,+33° 27′ 02.0″,6.33,2.53,188,F6IV,
,,,,73131,42415,08h 38m 59.92s,+52° 55′ 30.5″,6.34,0.08,581,K0,
,,,,86166,48861,09h 57m 56.84s,+45° 24′ 51.8″,6.34,0.8,418,K0III,
41 UMa,,41,,93132,52685,10h 46m 22.54s,+57° 21′ 57.8″,6.34,-0.49,756,M1III,
68 UMa,,68,,106002,59458,12h 11m 44.89s,+57° 03′ 16.0″,6.34,-1.03,970,K5III,
,,,,117242,65678,13h 27m 59.73s,+52° 44′ 44.3″,6.34,1.35,325,F0,
,,,,75487,43624,08h 53m 05.93s,+59° 03′ 22.1″,6.35,2.4,201,F5IV-V,
,,,,101391,56944,11h 40m 27.44s,+57° 58′ 13.3″,6.35,0.31,526,B9p...,
,,,,83869,47633,09h 42m 43.12s,+48° 25′ 51.8″,6.36,0.73,435,A1V,
,,,,90602,51290,10h 28m 36.54s,+45° 12′ 44.1″,6.37,-0.48,763,K0,
,,,,95256,53860,11h 01m 05.73s,+63° 25′ 16.4″,6.38,1.68,284,A2m,
,,,,100470,56410,11h 33m 56.38s,+36° 48′ 56.7″,6.38,0.81,424,K0III,
,,,,110678,62046,12h 43m 04.19s,+61° 09′ 19.3″,6.39,0.56,477,K0,
,,,,80461,45888,09h 21m 23.61s,+45° 22′ 12.5″,6.4,-0.3,713,K0,
,,,,93427,52877,10h 48m 49.86s,+65° 07′ 56.9″,6.4,0.85,420,A1V,
,,,,97138,54721,11h 12m 10.90s,+68° 16′ 18.7″,6.4,1.58,300,A3V,
,,,,100030,56170,11h 30m 53.14s,+47° 55′ 44.8″,6.4,1.38,328,G9IV,
,,,,82969,47231,09h 37m 37.52s,+60° 12′ 49.5″,6.41,1.45,321,G5,
,,,,95233,53798,11h 00m 25.58s,+51° 30′ 07.7″,6.41,0.2,568,G9III,
,,,,97334,54745,11h 12m 32.53s,+35° 48′ 52.0″,6.41,4.73,71,G0V,
,,,,69976,41060,08h 22m 44.06s,+60° 37′ 52.5″,6.42,0.75,444,K0III,
,,,,89268,50509,10h 18m 58.77s,+46° 45′ 39.1″,6.42,-0.61,830,K1III,
,,,,90508,51248,10h 28m 03.81s,+48° 47′ 13.4″,6.42,4.56,77,G1V,
,,,,93551,52929,10h 49m 28.82s,+63° 48′ 36.0″,6.42,-0.69,862,K0,
Groombridge 1830,,,,103095,57939,11h 52m 55.82s,+37° 43′ 58.1″,6.42,6.61,30,G8VIp,
,,,,103928,58369,11h 58m 07.25s,+32° 16′ 26.6″,6.42,3.04,155,A9V,
56 Cam,,-56,,68457,40474,08h 15m 50.52s,+60° 22′ 50.1″,6.43,0.5,499,A7Vm,
,,,,98673,55485,11h 21m 49.35s,+57° 04′ 29.4″,6.43,1.96,255,A7Vn,
,,,,77692,44717,09h 06m 43.16s,+59° 20′ 40.4″,6.44,-1.26,1132,A2V,
,,,,94084,53157,10h 52m 32.11s,+52° 30′ 13.4″,6.44,1.51,315,K2III,
,,,,95572,54038,11h 03m 27.37s,+70° 01′ 51.0″,6.44,-0.32,734,K0,
,,,,89389,50606,10h 20m 14.88s,+53° 46′ 45.4″,6.45,4.02,100,F9V,
,,,,120874,67548,13h 50m 27.77s,+58° 32′ 21.9″,6.45,1.87,269,A3V,
,,,,73029,42434,08h 39m 10.10s,+59° 56′ 21.3″,6.47,1.25,360,A2Vn,
,,,,103500,58119,11h 55m 14.10s,+36° 45′ 23.4″,6.47,0.19,588,M3III,
,,,,119992,67103,13h 45m 13.10s,+55° 52′ 48.8″,6.47,3.84,110,F7IV-V,
,,,,123977,69107,14h 08m 46.19s,+59° 20′ 15.7″,6.47,0.83,438,K0III,
,,,,89221,50485,10h 18m 32.91s,+43° 02′ 55.1″,6.48,3.72,116,G5,
,,,,118536,66385,13h 36m 39.89s,+49° 29′ 12.1″,6.48,0.55,500,K1III,
,,,,82408,46879,09h 33m 11.26s,+45° 30′ 49.9″,6.49,0.22,584,K0,
,,,,101150,56816,11h 38m 49.12s,+64° 20′ 49.1″,6.49,0.02,640,A5IV,
,,,,104179,58512,11h 59m 57.41s,+34° 02′ 04.8″,6.49,1.19,374,A9III,
,,,,118970,66613,13h 39m 14.92s,+51° 48′ 15.1″,6.49,-1.82,1495,K2,
HR 5256,,,,122064,68184,13h 57m 32.10s,+61° 29′ 32.4″,6.49,6.47,33,K3V,
,,,,81790,46566,09h 29m 47.87s,+55° 44′ 43.2″,6.5,3.27,145,F3Vs,
,,,,83564,47521,09h 41m 16.76s,+55° 51′ 59.7″,6.5,0.99,412,K1III-IV,
,,,,83886,47664,09h 43m 07.00s,+54° 21′ 49.6″,6.5,1.69,299,A5m,
,,,,113436,63647,13h 02m 40.46s,+59° 42′ 58.8″,6.5,0.12,615,A3Vn,
,,,,117043,65530,13h 26m 00.37s,+63° 15′ 38.7″,6.5,4.85,70,G6V,
28 UMa,,28,,84179,47911,09h 45m 55.38s,+63° 39′ 12.3″,6.51,2.07,252,F2V,
65 UMa,,65,,103483,58112,11h 55m 05.74s,+46° 28′ 36.6″,6.54,-0.41,801,A3Vn,
25 LMi,,-25,,89572,50687,10h 21m 03.67s,+41° 50′ 57.8″,6.78,0.17,685,A0,
14 LMi,,-14,,84453,47973,09h 46m 42.44s,+45° 06′ 53.0″,6.81,2.22,270,K0IV,
39 Lyn,,-39,,80608,45974,09h 22m 32.20s,+49° 32′ 41.4″,6.9,0.1,738,B9,
